Fish ID,Magement Region,mgmt_lat,Sampling Port,State,Season,Sample Month,Full Sample Date ,Depth m,Lat,Long,Relief,Weight g,FL cm,TL cm,SL cm,Height cm,Sex,Maturity,Fulton's K,GSI (g),HSI (g),Gut Weight (g),Gut Content Weight (g),Weight,d15N,d13C,%N,%C,C:N
HLS_0741,Eureka,40.1,Brookings,Oregon,Fall,September,9/7/17,60.96,42.78708,-124.61359,3,850,36.4,39.1,32.3,10.5,M,IMM,1.42196417,0.058823529,0.470588235,6,0.1,0.696,13.8,-16.5,14.3,46.7,3.3
HLS_0742,Eureka,40.1,Brookings,Oregon,Fall,September,9/7/17,53.0352,42.66982,-124.47434,3,1570,45.5,47.5,39.1,13.2,F,MAT,1.46493658,0.159235669,0.617834395,19,3.2,0.508,15.8,-17,14,44.8,3.2
HLS_0743,Eureka,40.1,Brookings,Oregon,Fall,September,9/7/17,53.0352,42.66982,-124.47434,3,970,36.7,38.4,31.8,11.1,M,IMM,1.713081642,0.051546392,1.432989691,7.5,0.5,0.627,14.9,-16.4,14.4,46.7,3.3
HLS_0744,Eureka,40.1,Brookings,Oregon,Fall,September,9/7/17,53.0352,42.66982,-124.47434,3,730,34.4,35.9,29,10.1,F,IMM,1.577754816,0.123287671,0.808219178,7.87,1.2,0.604,14.9,-16.5,14,46.5,3.3
HLS_0745,Eureka,40.1,Brookings,Oregon,Fall,September,9/7/17,53.0352,42.66982,-124.47434,3,750,33.9,35.5,28.8,10.5,F,IMM,1.676394411,0.133333333,1.013333333,7.3,2.5,0.631,13.5,-16.5,14.3,46.3,3.2
HLS_0746,Eureka,40.1,Brookings,Oregon,Fall,September,9/7/17,53.0352,42.66982,-124.47434,3,910,36.9,38.4,31.9,11.1,F,IMM,1.607117829,0.120879121,0.813186813,5.4,0,0.645,14.7,-16.5,14.4,48.6,3.4
HLS_0747,Eureka,40.1,Brookings,Oregon,Fall,September,8/30/17,37.898832,42.66892,-124.47539,3,2100,49,51.2,41.5,14.1,F,MAT,1.564621925,0.180952381,0.7,24,1.3,0.544,16,-16.6,13.4,43.1,3.2
HLS_0758,Eureka,40.1,Brookings,Oregon,Fall,September,9/7/17,60.96,42.78708,-124.61359,3,700,34.9,37.1,30.6,10.1,M,IMM,1.370806993,0,0.5,10,0.7,0.588,15.1,-16.9,14.4,47.2,3.3
HLS_0762,Eureka,40.1,Brookings,Oregon,Fall,September,9/7/17,60.96,42.78708,-124.61359,3,560,32.3,33.8,27,9.6,M,IMM,1.450233477,0.017857143,0.428571429,9.8,4.5,0.665,14.8,-16.7,14.5,47.4,3.3
HLS_0809,Eureka,40.1,Brookings,Oregon,Fall,October,9/30/17,28.3464,42.7911,-124.609,3,,37.8,39.3,32.1,11.7,M,IMM,,,,11,1.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HLS_0810,Eureka,40.1,Brookings,Oregon,Fall,October,10/1/17,28.3464,42.7911,-124.609,3,,37.5,39.1,32.6,11.9,F,IMM,,,,9.8,1.4,0.646,14.9,-17.4,13.2,50.6,3.8
HLS_0811,Eureka,40.1,Brookings,Oregon,Fall,October,10/2/17,37.90000121,42.66892,-124.47539,3,,34.3,35.3,29.1,10.4,M,IMM,,,,5,0.7,0.512,14.7,-16.8,14.4,47.1,3.3
HLS_0815,Eureka,40.1,Brookings,Oregon,Fall,October,10/6/17,28.3464,42.7911,-124.609,3,,31.1,32.9,26.1,9.5,M,IMM,,,,5.6,0.8,0.526,14.4,-16.7,14.4,46.8,3.3
HLS_0816,Eureka,40.1,Brookings,Oregon,Fall,October,10/7/17,28.3464,42.7911,-124.609,3,,19.5,18.1,15.2,5.3,F,IMM,,,,1.5,0.4,0.514,14.1,-17,14.8,49.1,3.3
HLS_1309,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,40.2336,40.49295,-124.44582,2,530,29.8,31.3,25.2,9.2,F,IMM,1.728394426,0.188679245,1.901886792,7.1,1.2,0.513,14.3,-16.8,13.7,43.6,3.2
HLS_1311,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,36.576,40.49308,-124.44556,3,570,30.3,31.9,25.5,9.8,F,IMM,1.755912241,0.210526316,2.701754386,6.7,1.9,0.624,13.8,-17.3,13.2,46.8,3.5
HLS_1312,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,38.4048,40.49422,-124.45721,1,930,36.7,39,31.5,11.1,M,MAT,1.567794467,0.258064516,1.913978495,15.4,7.7,0.605,14.5,-17,13.8,44.4,3.2
HLS_1316,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,38.4048,40.49488,-124.45656,1,630,32.5,34.5,27.5,10,F,IMM,1.534204542,0.174603175,1.333333333,11.9,6.5,0.539,14.4,-17.6,13.7,44.6,3.2
HLS_1319,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,38.4048,40.49488,-124.49488,1,660,32.9,34.5,27.6,9.8,F,IMM,1.607261902,0.272727273,2.166666667,10.2,3.3,0.516,14.4,-17,14.2,45.3,3.2
HLS_1320,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,36.576,40.49308,-124.44556,3,1060,38.5,40.7,32.5,11.5,F,MAT,1.572253744,0.235849057,2.283018868,9.1,0.5,0.576,14.6,-16.5,14,45.2,3.2
HLS_1323,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,42.0624,40.50398,-124.48378,3,580,31.7,33.5,26.69,9.8,F,IMM,1.542742957,0.137931034,1.379310345,7.1,0.6,0.643,13.9,-17.8,14,44.8,3.2
HLS_1325,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,42.0624,40.50398,-124.48378,3,1580,45.4,48.2,38,13.3,F,MAT,1.410964127,0.164556962,1.044303797,22.9,7.1,0.623,14.9,-17.4,14.5,46.2,3.2
HLS_1330,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,32.9184,40.49358,-124.4458,3,480,29.5,31.2,25,8.9,M,IMM,1.580437971,0.020833333,2.416666667,5.3,0.4,0.582,14.1,-17.3,14.1,45.8,3.2
HLS_1331,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,38.4048,40.49488,-124.45656,1,710,34.2,35.9,28.7,10.1,F,IMM,1.534528656,0.154929577,2.154929577,6.4,0.2,0.623,14,-17,13.8,44.6,3.2
HLS_1348,Eureka,40.1,Eureka,Northern California,Fall,September,9/5/18,98.7552,40.75694,-124.44205,3,2680,51.9,55.1,43.9,16.5,F,MAT,1.602064502,3.242537313,2.242537313,20.1,0,0.517,14.2,-18.1,13.7,46.6,3.4
HLS_1355,Eureka,40.1,Eureka,Northern California,Fall,September,9/5/18,54.13248,40.50538,-124.49867,3,630,33.4,35.2,28.3,8.9,F,IMM,1.444483412,0.174603175,1.428571429,5.5,0.7,0.61,14.1,-17.7,14.5,46.5,3.2
HLS_1358,Eureka,40.1,Eureka,Northern California,Fall,September,9/5/18,40.2336,40.49506,-124.44471,2,520,30.8,32.4,25.7,9.1,F,IMM,1.528862094,0.134615385,2.115384615,6.8,2.3,0.519,13.8,-17.2,14.1,45.9,3.3
HLS_1359,Eureka,40.1,Eureka,Northern California,Fall,September,9/5/18,34.7472,40.48106,-124.51398,2,860,36.9,38.8,31.3,10.9,M,MAT,1.472323603,0.034883721,1.569767442,9.2,1.4,0.612,14.1,-18,13.5,43.7,3.2
HLS_1360,Eureka,40.1,Eureka,Northern California,Fall,September,9/5/18,40.2336,40.49556,-124.44405,1,470,30.2,31.8,25.6,8.7,M,IMM,1.461559493,0.042553191,2.212765957,7,2.6,0.507,14.3,-17.5,14,47.1,3.4
HLS_1362,Eureka,40.1,Eureka,Northern California,Fall,September,9/5/18,49.19472,40.50454,-124.499,3,830,36.2,38.1,30.8,11.1,M,IMM,1.500732077,0.024096386,1.024096386,7.1,0.9,0.691,14,-17.9,14.2,45.8,3.2
HLS_1369,Eureka,40.1,Eureka,Northern California,Fall,September,9/5/18,40.2336,40.49356,-124.4405,2,940,37.6,39.5,31.8,11.2,F,MAT,1.525234312,0.191489362,1.946808511,13.2,2.5,0.522,14.5,-16.9,13.5,44.4,3.3
HLS_1372,Eureka,40.1,Eureka,Northern California,Fall,September,9/5/18,40.2336,40.49421,-124.44518,1,560,30.7,32.1,26.3,9.5,M,IMM,1.693062263,0.035714286,2.214285714,5.8,1,0.662,13.9,-17.3,14,45.6,3.3
HLS_1374,Eureka,40.1,Eureka,Northern California,Fall,September,9/5/18,40.2336,40.49506,-124.44471,2,150,26.7,20,22.8,8,F,IMM,1.875,0.266666667,4.8,3.5,0.6,0.603,13.8,-17.2,13.9,46,3.3
HLS_1378,Eureka,40.1,Eureka,Northern California,Fall,September,9/5/18,40.2336,40.49335,-124.44514,1,570,31.3,33.1,26.5,9.4,M,IMM,1.571776801,0.105263158,2.228070175,5.4,0.5,0.505,14.5,-17,13.9,45,3.2
HLS_1381,Eureka,40.1,Eureka,Northern California,Fall,September,9/5/18,36.576,40.47836,-124.51373,2,1110,42.1,44.5,36.2,11.7,F,MAT,1.259629856,0.18018018,1.36036036,12.5,0.3,0.543,14.2,-17.9,14.4,46.1,3.2
HLS_1382,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,32.9184,40.49358,-124.4458,3,420,28,29.4,23.5,9,M,IMM,1.652750507,0.023809524,2.071428571,4.6,0.7,0.626,14.4,-17.1,14.4,47.4,3.3
HLS_1383,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,40.2336,40.49356,-124.45148,3,880,35,36.9,29.2,11.8,F,IMM,1.751473512,0.181818182,2.238636364,21.8,13.5,0.508,15.1,-17.1,14.3,46.9,3.3
HLS_1387,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,36.576,40.4931,-124.45184,2,420,31,32.5,26.1,9.2,F,IMM,1.223486573,0.214285714,1.904761905,22.7,17.5,0.512,14.2,-17.6,14.2,46.1,3.3
HLS_1388,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,40.2336,40.4931,-124.45164,3,630,33,34.5,27.6,10.4,F,IMM,1.534204542,0.126984127,1.206349206,12.3,5.9,0.58,14.6,-17.4,14.2,45.5,3.2
HLS_1389,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,40.2336,40.4933,-124.45171,2,970,38.4,40.7,32.4,12.2,M,MAT,1.438760502,0.051546392,1.06185567,18.6,10.9,0.548,14.8,-17.3,13.6,43.9,3.2
HLS_1391,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,32.9184,40.4936,-124.4458,3,640,33.1,34.5,28.4,10.6,F,IMM,1.558556995,0.1875,2.46875,7.3,1,0.648,14.5,-17.1,14.3,46.9,3.3
HLS_1392,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,42.0624,40.5043,-124.48454,3,630,33.6,35.5,28.8,10.1,F,IMM,1.408171305,0.206349206,1.142857143,6.4,0.3,0.672,14.3,-17.7,14.2,46.4,3.3
HLS_1393,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,36.576,40.4931,-124.45184,2,730,35.4,37.6,30.2,10.5,M,IMM,1.373280728,0.04109589,2.547945205,15.2,8,0.63,14.6,-16.9,13.9,45,3.2
HLS_1396,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,36.576,40.49305,-124.45184,2,820,36.5,38.5,31.1,11.1,M,MAT,1.436916937,0.048780488,1.695121951,9.7,3.1,0.588,14.1,-17,14.4,48.3,3.4
HLS_1399,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,40.2336,40.49311,-124.45164,3,650,33.9,35.8,28.6,10.3,M,IMM,1.41665558,0.061538462,2.123076923,11.8,5.6,0.604,14.4,-17,14.1,46.4,3.3
HLS_1401,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,42.0624,40.50431,-124.48454,3,690,34.9,36.7,29.9,10.7,F,IMM,1.395889042,0.202898551,1.420289855,14.2,5.6,0.546,14.5,-17.8,14.2,46.1,3.3
HLS_1402,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,42.0624,40.50431,-124.48454,3,890,38.3,40.4,32.8,11.5,M,MAT,1.349726924,0.078651685,1.168539326,8.8,0.9,0.694,14.7,-17.7,14.2,46.7,3.3
HLS_1403,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,32.9184,40.49307,-124.44608,3,610,32.2,34,27.7,10.1,F,IMM,1.552004885,0.147540984,2.295081967,8.5,2.6,0.66,14.5,-17.2,14.5,47.6,3.3
HLS_1404,Eureka,40.1,Eureka,Northern California,Fall,September,9/6/18,40.2336,40.49311,-124.45164,3,1260,43.2,45.4,36.7,12.3,M,MAT,1.346489548,0.063492063,1.428571429,31,18.5,0.584,14.9,-17,14.4,46.9,3.3
HLS_0545,Monterey,36,Fort Bragg,Northern California,Summer,July,7/18/17,84.4296,39.51793,-123.84047,1,584,34.3,36,28.6,10.2,M,IMM,1.251714678,0.068493151,0.856164384,8.1,2.5,0.665,15.1,-17.8,14,45,3.2
HLS_0546,Monterey,36,Fort Bragg,Northern California,Summer,July,7/18/17,53.34,39.518,-123.84044,1,384,28.1,28.4,24.9,8.9,F,IMM,1.676394411,0.130208333,0.755208333,3,0.2,0.653,15.4,-17.4,13.9,44.9,3.2
HLS_0547,Monterey,36,Fort Bragg,Northern California,Summer,July,7/18/17,53.34,39.518,-123.84044,1,431,30.2,32.3,26.2,9.4,M,IMM,1.278997522,0.023201856,0.974477958,4.6,0.4,0.645,15.5,-17.4,14,45,3.2
HLS_0549,Monterey,36,Fort Bragg,Northern California,Summer,July,7/18/17,53.34,39.518,-123.84036,1,479,31.7,34,27.8,8.8,F,IMM,1.218705475,0.12526096,0.855949896,4,0.1,0.665,15.6,-17.3,13.1,42.3,3.2
HLS_0551,Monterey,36,Fort Bragg,Northern California,Summer,July,7/18/17,82.9056,39.518,-123.84024,2,530,31.3,33.5,27,9.9,F,IMM,1.409747875,0.169811321,0.811320755,6.8,1.6,0.545,15.2,-18,14,45.2,3.2
HLS_0553,Monterey,36,Fort Bragg,Northern California,Summer,July,7/18/17,53.34,39.518,-123.84044,1,558,32.9,35.1,28.2,9.3,M,IMM,1.290365817,0.053763441,0.860215054,6.3,0.4,0.607,15.2,-17.7,14.3,46.4,3.2
HLS_0556,Monterey,36,Fort Bragg,Northern California,Summer,July,7/18/17,87.4776,39.5102,-123.83935,2,966,39.2,41.9,35.8,11.2,M,MAT,1.31321265,0.186335404,1.014492754,8.8,0,0.619,16,-17.5,13.7,44.6,3.2
HLS_0557,Monterey,36,Fort Bragg,Northern California,Summer,July,7/18/17,87.4776,39.5102,-123.83935,2,1125,41.5,43.9,35.4,13.2,M,MAT,1.329716206,0.062222222,0.88,11.5,0,0.637,15.7,-17.3,13.7,44.2,3.2
HLS_0565,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,65.532,39.7107,-123.84767,2,476,30.3,31.5,25.7,10.2,F,IMM,1.522913692,0,0.861344538,6.2,0,0.576,15.4,-17.1,14.1,45.3,3.2
HLS_0569,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,65.532,39.71106,-123.84805,2,510,32.9,31.4,27,10.5,M,IMM,1.647332368,0,0.862745098,6.9,0.9,0.531,15.5,-17.5,13.7,44,3.2
HLS_0573,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,60.96,39.71257,-123.84896,2,760,39.4,42.1,33.9,13,M,MAT,1.018514708,0.263157895,1.552631579,52.4,38.6,0.612,15.8,-17.4,14,45.6,3.3
HLS_0576,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,60.96,39.71257,-123.84896,2,500,34.4,37.2,29.8,10.2,F,MAT,0.971272706,0.26,1.14,13.4,7.2,0.512,15.7,-17.8,13.9,46.1,3.3
HLS_0584,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,65.532,39.71245,-123.84879,2,740,36.3,38.2,31.6,10.8,F,MAT,1.327521706,0.135135135,0.675675676,7.1,0.8,0.61,15.7,-17.5,14.3,46,3.2
HLS_0591,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,64.6176,39.71257,-123.84896,2,370,33.4,35.3,28.6,9.8,M,IMM,0.841158055,0.081081081,1.648648649,10.6,4.2,0.607,15.5,-17.7,14.1,45.1,3.2
HLS_0593,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,50.292,39.66172,-123.81717,2,611,33.1,35.1,29.2,9.5,M,IMM,1.412927444,0.016366612,0.752864157,14.4,8.6,0.555,15.4,-17.5,14.3,44.2,3.1
HLS_0594,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,53.6448,39.7107,-123.84767,2,481,30.3,32,25.6,8.7,M,IMM,1.467895508,0,1.03950104,5.5,1.1,0.628,15.2,-17.4,14,43.9,3.1
HLS_0596,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,60.96,39.71257,-123.84896,2,441,29.6,31.1,25.1,8.5,F,IMM,1.466079167,0.136054422,0.839002268,6,1.9,0.645,15.1,-17.7,14.3,44.4,3.1
HLS_0598,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,53.6448,39.7107,-123.84767,2,611,32.5,34.1,28.2,9.9,F,IMM,1.540912837,0,0.752864157,8.5,1.5,0.526,15.5,-17.5,14.2,44.3,3.1
HLS_0601,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,71.3232,39.66163,-123.84407,2,222,23.8,25.3,20.3,6.8,M,IMM,1.370854654,0,1.261261261,3.1,0.7,0.563,15.1,-17.5,14.1,44.5,3.2
HLS_0604,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,53.6448,39.7107,-123.84767,2,606,33.7,34.9,28,9.8,M,IMM,1.42559559,0,1.204620462,12.6,6.9,0.523,15,-17.6,14.5,45.3,3.1
HLS_0622,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,53.6448,39.7107,-123.84767,2,629,32.4,33.9,27.2,9.7,M,IMM,1.614550193,0,1.081081081,7.8,1.9,0.5,15.3,-17.4,13.4,42.2,3.2
HLS_0624,Monterey,36,Fort Bragg,Northern California,Summer,July,7/17/17,65.532,39.71106,-123.84805,2,654,33.9,35.7,28.6,10,M,IMM,1.437384972,0.03058104,0.963302752,9,0.5,0.563,15.6,-17.4,14.1,44.3,3.1
HLS_0636,Monterey,36,Fort Bragg,Northern California,Summer,July,7/18/17,84.4296,39.51772,-123.8394,1,550,31.3,33.4,26.2,9.5,M,IMM,1.476125522,0.036363636,1.127272727,6,0.2,0.534,15.3,-17.9,14,45,3.2
HLS_0637,Monterey,36,Fort Bragg,Northern California,Summer,July,7/18/17,87.4776,39.51215,-123.84,2,1830,45,47.7,37.5,13.5,M,MAT,1.686149013,1.459016393,1.06557377,19.9,3.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HLS_0682,Monterey,36,Half Moon Bay,Central California,Spring,March,3/18/17,100.584,37.693,-123.07862,3,862,36.2,37.8,30.2,11.2,M,IMM,1.595996249,0.034802784,0.638051044,14.2,4.1,0.632,15.5,-16.7,14.5,47.3,3.3
HLS_0689,Monterey,36,Half Moon Bay,Central California,Spring,March,3/18/17,87.1728,37.69491,-123.07989,3,570,32.5,34.4,27.6,9.5,F,IMM,1.400230483,0.175438596,0.596491228,7.1,1.2,0.689,14.9,-16.1,14.1,46.5,3.3
HLS_0708,Monterey,36,Half Moon Bay,Central California,Spring,March,3/18/17,127.4064,37.516,-122.949,2,608,30.9,32.7,26,10.1,M,IMM,1.7388428,0.032894737,0.871710526,6.2,1.4,0.922,15.4,-17.1,9.5,32.5,3.4
HLS_0712,Monterey,36,Half Moon Bay,Central California,Spring,March,3/15/17,96.6216,37.68692,-123.07665,2,580,32.4,35,28.1,9.8,F,IMM,1.352769679,0.224137931,0.689655172,6.5,0.5,0.579,15.1,-16.7,14.4,46.1,3.2
HLS_0724,Monterey,36,Half Moon Bay,Central California,Spring,March,3/15/17,57.6072,37.76444,-123.13729,3,680,32.3,33.4,27.7,9.8,M,IMM,1.825027918,0.044117647,0.867647059,17.8,0.2,0.628,14.8,-17.1,14.1,45.8,3.2
HLS_0766,Monterey,36,Moss Landing,Central California,Fall,October,10/6/17,80.4672,36.54188,-121.95566,3,1050,42.5,40.6,34.4,11,F,MAT,1.568957568,2.076190476,1.742857143,19.1,5.5,0.595,15.9,-17.2,14.3,46.6,3.3
HLS_0782,Monterey,36,Moss Landing,Central California,Fall,October,10/5/17,79.248,36.29629,-121.99506,2,1520,44,46.5,37.1,12.7,F,MAT,1.511766541,0.263157895,1.131578947,12.6,0,0.577,16.1,-17.5,14.4,46.6,3.3
HLS_0783,Monterey,36,Moss Landing,Central California,Fall,October,10/5/17,90.8304,36.29717,-121.99622,2,1150,40.8,42.7,34.7,11.6,M,MAT,1.477114683,0.173913043,1.182608696,11.7,1.2,0.694,16,-18.3,13.1,47.5,3.6
HLS_0794,Monterey,36,Moss Landing,Central California,Fall,October,10/5/17,79.248,36.29629,-121.99506,2,1690,44.6,46.5,37.1,12.8,F,MAT,1.680845694,0.313609467,0.816568047,14.8,0.3,0.642,15.8,-17.5,14.1,46.8,3.3
HLS_0795,Monterey,36,Moss Landing,Central California,Fall,October,10/5/17,89.3064,36.29687,-121.99653,1,1190,39.9,41.3,33.2,12.3,F,MAT,1.689261198,0.294117647,1.025210084,10.9,0,0.526,16,-17.7,14.1,46.3,3.3
HLS_0796,Monterey,36,Moss Landing,Central California,Fall,October,10/5/17,90.8304,36.29717,-121.99622,2,1110,39.4,41.2,33,11.8,M,MAT,1.587198815,0.288288288,1.162162162,9.4,0.6,0.518,15.8,-17.8,13.8,46.3,3.4
HLS_0802,Monterey,36,Moss Landing,Central California,Fall,October,10/5/17,39.624,36.28921,-121.90591,2,860,35.7,37.5,30.2,10.8,M,MAT,1.630814815,0.325581395,1.23255814,8.2,0.4,0.536,15.8,-18,14.1,46.6,3.3
HLS_0820,Monterey,36,Half Moon Bay,Central California,Winter,December,12/5/17,35.6616,37.72534,-123.04668,3,700,34,35.5,29,10.5,F,IMM,1.564634784,0.185714286,2.714285714,9.7,3.6,0.612,14.8,-17,13.9,50.5,3.6
HLS_0821,Monterey,36,Half Moon Bay,Central California,Winter,December,12/5/17,35.6616,37.72534,-123.04668,3,830,34,35.4,29.5,10.6,M,MAT,1.870976386,0.048192771,3.843373494,10.7,5.2,0.509,14.2,-16.6,13.9,47.3,3.4
HLS_0823,Monterey,36,Half Moon Bay,Central California,Winter,December,12/5/17,35.6616,37.72534,-123.04668,3,1130,40.3,42,34.1,11.9,M,MAT,1.52521326,0.132743363,0.769911504,21.2,11.6,0.504,14.6,-16.9,14.3,47.7,3.3
HLS_0825,Monterey,36,Half Moon Bay,Central California,Winter,December,12/5/17,41.4528,37.7262,-123.04597,3,740,34.4,35.1,28.5,10.4,M,IMM,1.711237821,0.013513514,2.648648649,12.4,6.8,0.59,15,-16.1,14.3,46.8,3.3
HLS_0827,Monterey,36,Half Moon Bay,Central California,Winter,December,12/5/17,35.6616,37.72534,-123.04668,3,470,28,29.7,24.8,8.9,M,IMM,1.79402508,0.021276596,2.404255319,3.5,0,0.526,14.3,-16.5,13.9,46.7,3.4
HLS_0829,Monterey,36,Half Moon Bay,Central California,Winter,December,12/5/17,41.4528,37.7262,-123.04597,3,690,32.3,33.5,27.1,10,M,IMM,1.835332139,0.028985507,3,9.9,4.3,0.594,14.3,-16.7,13.9,48.3,3.5
HLS_0832,Monterey,36,Moss Landing,Central California,Fall,October,10/6/17,78.3336,36.54937,-121.98497,2,1500,43.9,45.4,37,13.3,F,MAT,1.602963747,2.42,3.206666667,17.4,3.3,0.676,15.4,-17,14.2,48.3,3.4
HLS_0843,Monterey,36,Moss Landing,Central California,Fall,October,10/6/17,87.4776,36.694,-121.93871,2,1020,39.9,41,33.7,11.4,F,MAT,1.479955311,0.960784314,2.235294118,32.4,23.4,0.534,15.1,-17.6,14.1,46.3,3.3
HLS_0844,Monterey,36,Moss Landing,Central California,Fall,October,10/6/17,88.392,36.54064,-121.95596,2,840,36.1,37.7,30.9,10.8,M,MAT,1.567672122,0.238095238,1.535714286,8,0.5,0.536,15.4,-17.6,13.9,48,3.5
HLS_0854,Monterey,36,Moss Landing,Central California,Fall,October,10/3/17,42.672,36.64479,-121.92181,3,860,36.9,38.3,31,10.4,F,IMM,1.530742462,0.220930233,0.025581395,16.4,4.6,0.667,15.9,-17.9,13.2,48.2,3.7
HLS_0855,Monterey,36,Half Moon Bay,Central California,Winter,January,1/11/18,63.3984,37.33845,-122.55756,0,,37.6,39.7,32.1,10.3,F,IMM,,,,8.1,0,0.67,15.2,-16.5,14.1,44.6,3.2
HLS_0856,Monterey,36,Half Moon Bay,Central California,Winter,January,1/11/18,48.1584,37.30043,-122.48594,3,,28.3,29.9,23.9,8,M,IMM,,,,5.1,0.1,0.62,15.4,-16.7,14,44.9,3.2
HLS_0857,Monterey,36,Half Moon Bay,Central California,Winter,January,1/11/18,65.2272,37.34015,-123.55775,3,,30.9,32.8,25.4,8.9,F,IMM,,,,5.3,0,0.656,14.9,-16.5,14.4,46.5,3.2
HLS_0860,Monterey,36,Half Moon Bay,Central California,Winter,January,1/11/18,71.0184,37.38936,-123.64806,0,620,36.5,38.9,31.6,9.9,F,IMM,1.053277691,0.258064516,1.258064516,8.5,0.2,0.687,15.4,-16.4,14,45.2,3.2
HLS_0864,Monterey,36,Bodega Bay,Northern California,Winter,January,1/22/18,128.016,38.063,-123.39538,1,930,42.2,44.6,36.6,12.2,F,MAT,1.048282588,0,0.376344086,13.2,0.3,0.568,15.5,-17.7,13.7,47.7,3.5
HLS_0871,Monterey,36,Bodega Bay,Northern California,Winter,January,1/22/18,129.8448,38.063,-123.39249,1,720,35.4,36.7,30.6,10.2,M,IMM,1.45657987,0.041666667,1.333333333,5.6,0.4,0.59,14.4,-17.2,16.4,54.9,3.3
HLS_0872,Monterey,36,Bodega Bay,Northern California,Winter,January,1/22/18,129.8448,38.063,-123.39249,1,1310,41.5,43.8,35.3,12.9,F,MAT,1.559010227,0.198473282,1.854961832,10.8,1.4,0.676,14.6,-18.6,12.4,49.1,4
HLS_0874,Monterey,36,Bodega Bay,Northern California,Winter,January,1/22/18,129.8448,38.063,-123.39249,1,1620,45.5,47.9,38.9,12.8,F,MAT,1.474037303,0.240740741,1.660493827,16.8,4.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HLS_0885,Monterey,36,Bodega Bay,Northern California,Winter,January,1/23/18,118.872,38.04181,-123.36535,2,1380,40.9,43,34.7,11.5,M,IMM,1.735696228,0.086956522,1.550724638,11.1,1.4,0.561,15,-17.5,14,44.1,3.2
HLS_0887,Monterey,36,Bodega Bay,Northern California,Winter,January,1/23/18,118.872,38.04181,-123.36535,2,690,34.1,36.2,28.9,9.8,F,IMM,1.454532331,0.188405797,1.246376812,6.3,1.6,0.636,14.6,-17.6,14.2,44.7,3.1
HLS_0902,Monterey,36,Bodega Bay,Northern California,Winter,January,1/23/18,122.5296,38.04285,-123.3659,2,1080,38.4,40.6,32.5,12,F,IMM,1.613784927,0.194444444,0.777777778,8.6,0.8,0.593,15.4,-16.2,14.3,47,3.3
HLS_0903,Monterey,36,Bodega Bay,Northern California,Winter,January,1/23/18,124.3584,38.043,-123.365581,2,1140,39.2,41,33.2,12.1,M,IMM,1.654067701,0.043859649,1.50877193,8.4,1.2,0.529,14.8,-17.2,13.9,44.8,3.2
HLS_0904,Monterey,36,Bodega Bay,Northern California,Winter,January,1/23/18,124.3584,38.043,-123.365581,2,980,37.3,39.5,31.7,11,F,IMM,1.5901379,0.183673469,1.244897959,6.7,0.8,0.679,14.7,-17.1,14.5,46.5,3.2
